"Id","Weekly_Sales"
"1_1_2012-11-02",36731.7875884066
"1_1_2012-11-09",22825.4928089719
"1_1_2012-11-16",20032.4991400056
"1_1_2012-11-23",21054.8296936869
"1_1_2012-11-30",22173.3169676923
"1_1_2012-12-07",32636.3865325158
"1_1_2012-12-14",45070.9969233766
"1_1_2012-12-21",49425.3231945238
"1_1_2012-12-28",23917.5494001613
"1_1_2013-01-04",16353.6436733333
"1_1_2013-01-11",17004.7738233333
"1_1_2013-01-18",18008.8300033333
"1_1_2013-01-25",18938.7735514912
"1_1_2013-02-01",23993.3162483333
"1_1_2013-02-08",37581.076851508
"1_1_2013-02-15",53090.4265710561
"1_1_2013-02-22",22774.12071
"1_1_2013-03-01",20552.8380833334
"1_1_2013-03-08",21431.9316559524
"1_1_2013-03-15",21902.383475
"1_1_2013-03-22",22259.6177083333
"1_1_2013-03-29",28724.0043575641
"1_1_2013-04-05",56968.3525756131
"1_1_2013-04-12",38257.658601619
"1_1_2013-04-19",20750.2740695743
"1_1_2013-04-26",19038.1774121615
"1_1_2013-05-03",18121.236925
"1_1_2013-05-10",18063.578925
"1_1_2013-05-17",17881.812295
"1_1_2013-05-24",16949.2076533334
"1_1_2013-05-31",16741.39512
"1_1_2013-06-07",17205.3101266667
"1_1_2013-06-14",17326.4023266667
"1_1_2013-06-21",16801.2188433333
"1_1_2013-06-28",16340.6021266667
"1_1_2013-07-05",17101.7379
"1_1_2013-07-12",16690.4077333333
"1_1_2013-07-19",16382.0369833333
"1_1_2013-07-26",15987.0871633333
"1_2_2012-11-02",45285.4680452381
"1_2_2012-11-09",44818.6900019048
"1_2_2012-11-16",43970.3120452381
"1_2_2012-11-23",44557.636975
"1_2_2012-11-30",45042.0144869048
"1_2_2012-12-07",48220.4828369047
"1_2_2012-12-14",51624.7666035714
"1_2_2012-12-21",58048.1689702381
"1_2_2012-12-28",45797.4915813187
"1_2_2013-01-04",43503.2396616666
"1_2_2013-01-11",43032.566145
"1_2_2013-01-18",43115.599595
"1_2_2013-01-25",42581.2408783333
"1_2_2013-02-01",51518.9268833334
"1_2_2013-02-08",50230.78575
"1_2_2013-02-15",47593.6230666667
"1_2_2013-02-22",47545.7402166667
"1_2_2013-03-01",51494.2992028571
"1_2_2013-03-08",49359.7611778571
"1_2_2013-03-15",46932.3932533333
"1_2_2013-03-22",45744.6090866667
"1_2_2013-03-29",46248.00721
"1_2_2013-04-05",49833.2636416666
"1_2_2013-04-12",45642.5921416667
"1_2_2013-04-19",45421.6792916667
"1_2_2013-04-26",45450.083415
"1_2_2013-05-03",49027.0738583333
"1_2_2013-05-10",47185.3022083333
"1_2_2013-05-17",45436.3299116667
"1_2_2013-05-24",45860.860145
"1_2_2013-05-31",46498.7323991667
"1_2_2013-06-07",48488.7068404762
"1_2_2013-06-14",47044.4207821429
"1_2_2013-06-21",46469.2640821429
"1_2_2013-06-28",47418.1368154762
"1_2_2013-07-05",48390.47675
"1_2_2013-07-12",45915.2264033334
"1_2_2013-07-19",45203.3620200001
"1_2_2013-07-26",45118.4418771429
"1_3_2012-11-02",9607.144635
"1_3_2012-11-09",9760.08548500001
"1_3_2012-11-16",9790.288035
"1_3_2012-11-23",9754.07036666668
"1_3_2012-11-30",10561.7267288867
"1_3_2012-12-07",12304.6227
"1_3_2012-12-14",13263.2798416667
"1_3_2012-12-21",13759.9520661111
"1_3_2012-12-28",9835.58942603447
"1_3_2013-01-04",14234.2652166667
"1_3_2013-01-11",13747.8788066667
"1_3_2013-01-18",12292.1145333333
"1_3_2013-01-25",11244.2611333333
"1_3_2013-02-01",11929.01756
"1_3_2013-02-08",12150.5726333333
"1_3_2013-02-15",10728.1353766667
"1_3_2013-02-22",10534.5211766667
"1_3_2013-03-01",11223.8704033333
"1_3_2013-03-08",11509.3450566667
"1_3_2013-03-15",8760.46128499999
"1_3_2013-03-22",8409.65700833332
"1_3_2013-03-29",8998.88603333332
"1_3_2013-04-05",9401.37097499999
"1_3_2013-04-12",8400.27920833332
"1_3_2013-04-19",8582.60241166666
"1_3_2013-04-26",8635.99826166666
"1_3_2013-05-03",10308.0801416667
"1_3_2013-05-10",9926.82257499999
"1_3_2013-05-17",8571.68966999999
"1_3_2013-05-24",8352.46456999999
"1_3_2013-05-31",8262.56964166666
"1_3_2013-06-07",8130.72023
"1_3_2013-06-14",7961.571905
"1_3_2013-06-21",7374.79841
"1_3_2013-06-28",7485.151185
"1_3_2013-07-05",8269.56883
"1_3_2013-07-12",12677.9974666667
"1_3_2013-07-19",19379.9850416666
"1_3_2013-07-26",22229.4255033333
"1_4_2012-11-02",37159.0158452381
"1_4_2012-11-09",36813.1049585714
"1_4_2012-11-16",36641.5061285714
"1_4_2012-11-23",45521.4319333333
"1_4_2012-11-30",41529.0130388889
"1_4_2012-12-07",38815.6824833334
"1_4_2012-12-14",38926.6304833334
"1_4_2012-12-21",44826.1978666667
"1_4_2012-12-28",39732.33303
"1_4_2013-01-04",38526.8144833333
"1_4_2013-01-11",36754.824925
"1_4_2013-01-18",34707.4101416667
