"Id","Weekly_Sales"
"1_1_2012-11-02",565.523771348146
"1_1_2012-11-09",564.944137024328
"1_1_2012-11-16",565.206667674495
"1_1_2012-11-23",746.109045671497
"1_1_2012-11-30",565.323132388606
"1_1_2012-12-07",763.439119831331
"1_1_2012-12-14",763.836252948565
"1_1_2012-12-21",765.772023686749
"1_1_2012-12-28",575.857376996228
"1_1_2013-01-04",541.038958606147
"1_1_2013-01-11",555.010728971668
"1_1_2013-01-18",552.560027056983
"1_1_2013-01-25",506.13033641546
"1_1_2013-02-01",556.063206359112
"1_1_2013-02-08",556.35046858615
"1_1_2013-02-15",586.899081349809
"1_1_2013-02-22",556.474547727444
"1_1_2013-03-01",555.54186284352
"1_1_2013-03-08",556.327374095827
"1_1_2013-03-15",556.843493483716
"1_1_2013-03-22",555.960333431067
"1_1_2013-03-29",600.69017078052
"1_1_2013-04-05",556.694547457586
"1_1_2013-04-12",555.882208477521
"1_1_2013-04-19",554.248447762487
"1_1_2013-04-26",555.99801259736
"1_1_2013-05-03",553.206767043154
"1_1_2013-05-10",554.156247202544
"1_1_2013-05-17",552.42401020926
"1_1_2013-05-24",548.133663820842
"1_1_2013-05-31",547.469581826189
"1_1_2013-06-07",556.220542134877
"1_1_2013-06-14",553.64000716616
"1_1_2013-06-21",552.637782891013
"1_1_2013-06-28",550.393378234242
"1_1_2013-07-05",546.135896664714
"1_1_2013-07-12",543.283837385349
"1_1_2013-07-19",547.219963756305
"1_1_2013-07-26",545.511038672006
"1_2_2012-11-02",4617.77263917185
"1_2_2012-11-09",4613.0396471088
"1_2_2012-11-16",4615.18333569399
"1_2_2012-11-23",6092.33795553297
"1_2_2012-11-30",4616.13432590429
"1_2_2012-12-07",6233.84631706362
"1_2_2012-12-14",6237.0890993051
"1_2_2012-12-21",6252.89559516501
"1_2_2012-12-28",4702.15148201336
"1_2_2013-01-04",4417.84240797093
"1_2_2013-01-11",4531.92860944199
"1_2_2013-01-18",4511.91745372802
"1_2_2013-01-25",4132.79677666342
"1_2_2013-02-01",4540.52259174533
"1_2_2013-02-08",4542.86822550909
"1_2_2013-02-15",4792.31229016509
"1_2_2013-02-22",4543.88139116681
"1_2_2013-03-01",4536.26557206927
"1_2_2013-03-08",4542.67964792679
"1_2_2013-03-15",4546.89401009633
"1_2_2013-03-22",4539.68258498256
"1_2_2013-03-29",4904.92314520607
"1_2_2013-04-05",4545.67779440563
"1_2_2013-04-12",4539.04465729287
"1_2_2013-04-19",4525.70421802034
"1_2_2013-04-26",4539.99025343434
"1_2_2013-05-03",4517.19839568619
"1_2_2013-05-10",4524.95135625763
"1_2_2013-05-17",4510.80681097516
"1_2_2013-05-24",4475.77407642227
"1_2_2013-05-31",4470.35152865251
"1_2_2013-06-07",4541.80731376233
"1_2_2013-06-14",4520.73600893538
"1_2_2013-06-21",4512.55236737944
"1_2_2013-06-28",4494.2257276512
"1_2_2013-07-05",4459.4613500961
"1_2_2013-07-12",4436.17291913564
"1_2_2013-07-19",4468.31327747426
"1_2_2013-07-26",4454.35908510168
"1_3_2012-11-02",565.523771348146
"1_3_2012-11-09",564.944137024328
"1_3_2012-11-16",565.206667674495
"1_3_2012-11-23",746.109045671497
"1_3_2012-11-30",565.323132388606
"1_3_2012-12-07",763.439119831331
"1_3_2012-12-14",763.836252948565
"1_3_2012-12-21",765.772023686749
"1_3_2012-12-28",575.857376996228
"1_3_2013-01-04",541.038958606147
"1_3_2013-01-11",555.010728971668
"1_3_2013-01-18",552.560027056983
"1_3_2013-01-25",506.13033641546
"1_3_2013-02-01",556.063206359112
"1_3_2013-02-08",556.35046858615
"1_3_2013-02-15",586.899081349809
"1_3_2013-02-22",556.474547727444
"1_3_2013-03-01",555.54186284352
"1_3_2013-03-08",556.327374095827
"1_3_2013-03-15",556.843493483716
"1_3_2013-03-22",555.960333431067
"1_3_2013-03-29",600.69017078052
"1_3_2013-04-05",556.694547457586
"1_3_2013-04-12",555.882208477521
"1_3_2013-04-19",554.248447762487
"1_3_2013-04-26",555.99801259736
"1_3_2013-05-03",553.20676704308
"1_3_2013-05-10",554.156247202471
"1_3_2013-05-17",552.424010209189
"1_3_2013-05-24",548.133663820773
"1_3_2013-05-31",547.469581826122
"1_3_2013-06-07",556.220542134811
"1_3_2013-06-14",553.640007166096
"1_3_2013-06-21",552.637782890951
"1_3_2013-06-28",550.393378234183
"1_3_2013-07-05",546.135896664657
"1_3_2013-07-12",543.283837385295
"1_3_2013-07-19",547.219963756254
"1_3_2013-07-26",545.511038671958
"1_4_2012-11-02",2194.03998922823
"1_4_2012-11-09",2191.79120509215
"1_4_2012-11-16",2192.80973477038
"1_4_2012-11-23",2894.64946561976
"1_4_2012-11-30",2193.26157827023
"1_4_2012-12-07",2961.8842621913
"1_4_2012-12-14",2963.42500368512
"1_4_2012-12-21",2970.93513610525
"1_4_2012-12-28",2234.1308663469
"1_4_2013-01-04",2099.04723913278
"1_4_2013-01-11",2153.25295860093
"1_4_2013-01-18",2143.74506826118
"1_4_2013-01-25",1963.6136518361
"1_4_2013-02-01",2157.33621308607
"1_4_2013-02-08",2158.45069287534
"1_4_2013-02-15",2276.96892573253
"1_4_2013-02-22",2158.93207776421
"1_4_2013-03-01",2155.31357747058
"1_4_2013-03-08",2158.3610941036
"1_4_2013-03-15",2160.36346187949
"1_4_2013-03-22",2156.93710109578
"1_4_2013-03-29",2330.47366459411
"1_4_2013-04-05",2159.78560193067
"1_4_2013-04-12",2156.63400283374
"1_4_2013-04-19",2150.29556663844
"1_4_2013-04-26",2157.08328345238
"1_4_2013-05-03",2146.25419955508
"1_4_2013-05-10",2149.93785980815
"1_4_2013-05-17",2143.21736912918
"1_4_2013-05-24",2126.57228359832
"1_4_2013-05-31",2123.99587120646
"1_4_2013-06-07",2157.94662241121
"1_4_2013-06-14",2147.93502395715
"1_4_2013-06-21",2144.04673446474
"1_4_2013-06-28",2135.33920735722
"1_4_2013-07-05",2118.82162615162
"1_4_2013-07-12",2107.75660567396
"1_4_2013-07-19",2123.0274379503
"1_4_2013-07-26",2116.39738955357
"1_5_2012-11-02",1013.82336450761
"1_5_2012-11-09",1012.78424493363
"1_5_2012-11-16",1013.25488776162
"1_5_2012-11-23",1337.56142764611
"1_5_2012-11-30",1013.4636758874
"1_5_2012-12-07",1368.62932431473
"1_5_2012-12-14",1369.34127110365
"1_5_2012-12-21",1372.8115577691
"1_5_2012-12-28",1032.34858197223
"1_5_2013-01-04",969.929055389082
"1_5_2013-01-11",994.976467996217
"1_5_2013-01-18",990.583056107219
"1_5_2013-01-25",907.34781903306
"1_5_2013-02-01",996.863260771458
"1_5_2013-02-08",997.378240286497
"1_5_2013-02-15",1052.14321912949
"1_5_2013-02-22",997.60067891572
"1_5_2013-03-01",995.928640046706
"1_5_2013-03-08",997.336838430257
"1_5_2013-03-15",998.262093779065
"1_5_2013-03-22",996.678838854447
"1_5_2013-03-29",1076.86672218143
"1_5_2013-04-05",997.995075894067
"1_5_2013-04-12",996.538783020777
"1_5_2013-04-19",993.609914476546
"1_5_2013-04-26",996.746386888816
"1_5_2013-05-03",991.770545623801
"1_5_2013-05-10",993.472129577255
"1_5_2013-05-17",990.36598965916
"1_5_2013-05-24",982.673734324651
"1_5_2013-05-31",981.482481464641
"1_5_2013-06-07",997.170131114879
"1_5_2013-06-14",992.543056987584
"1_5_2013-06-21",990.745479938999
"1_5_2013-06-28",986.720940498614
"1_5_2013-07-05",979.087444032874
"1_5_2013-07-12",973.973469169047
"1_5_2013-07-19",981.028988222317
"1_5_2013-07-26",977.964291393082
"1_6_2012-11-02",189.93314290853
"1_6_2012-11-09",189.738470687063
"1_6_2012-11-16",189.826642527085
"1_6_2012-11-23",250.583340924906
"1_6_2012-11-30",189.865757609969
"1_6_2012-12-07",256.403707138988
"1_6_2012-12-14",256.537085689866
"1_6_2012-12-21",257.187221084488
"1_6_2012-12-28",193.403720623837
"1_6_2013-01-04",181.709832637189
"1_6_2013-01-11",186.402300738385
"1_6_2013-01-18",185.579223901352
"1_6_2013-01-25",169.985649387601
"1_6_2013-02-01",186.755778961875
"1_6_2013-02-08",186.852256988767
"1_6_2013-02-15",197.112115773952
"1_6_2013-02-22",186.893929403738
"1_6_2013-03-01",186.580683912881
"1_6_2013-03-08",186.844500623158
"1_6_2013-03-15",187.017841130533
"1_6_2013-03-22",186.721228728032
"1_6_2013-03-29",201.743901549223
"1_6_2013-04-05",186.967817085038
"1_6_2013-04-12",186.69499018826
"1_6_2013-04-19",186.146285919601
"1_6_2013-04-26",186.73388340824
"1_6_2013-05-03",185.791541440996
"1_6_2013-05-10",186.110524104062
"1_6_2013-05-17",185.528871772703
"1_6_2013-05-24",184.088095978633
"1_6_2013-05-31",183.865189110447
"1_6_2013-06-07",186.804285959918
"1_6_2013-06-14",185.937760444322
"1_6_2013-06-21",185.601309990175
"1_6_2013-06-28",184.847683882796
"1_6_2013-07-05",183.417973284331
"1_6_2013-07-12",182.460278726405
"1_6_2013-07-19",183.782383781664
"1_6_2013-07-26",183.20862107568
"1_7_2012-11-02",1095.97025127878
"1_7_2012-11-09",1094.84693514654
"1_7_2012-11-16",1095.35571266785
"1_7_2012-11-23",1445.93978130508
"1_7_2012-11-30",1095.58141823224
"1_7_2012-12-07",1479.5250109522
"1_7_2012-12-14",1480.2946445279
"1_7_2012-12-21",1484.04611749833
"1_7_2012-12-28",1115.99650826838
"1_7_2013-01-04",1048.5193257246
"1_7_2013-01-11",1075.59625061107
"1_7_2013-01-18",1070.84685451258
"1_7_2013-01-25",980.86733057872
"1_7_2013-02-01",1077.63592421141
"1_7_2013-02-08",1078.1926308807
"1_7_2013-02-15",1137.39504199596
"1_7_2013-02-22",1078.43309300546
"1_7_2013-03-01",1076.6255741382
"1_7_2013-03-08",1078.14787436356
"1_7_2013-03-15",1079.14810021417
"1_7_2013-03-22",1077.43655917229
"1_7_2013-03-29",1164.12181196489
"1_7_2013-04-05",1078.85944671814
"1_7_2013-04-12",1077.28515505931
"1_7_2013-04-19",1074.11896960062
"1_7_2013-04-26",1077.50958040931
"1_7_2013-05-03",1072.10021966005
"1_7_2013-05-10",1073.94028733111
"1_7_2013-05-17",1070.5832574254
"1_7_2013-05-24",1062.26867853834
"1_7_2013-05-31",1060.98170503268
"1_7_2013-06-07",1077.94083682228
"1_7_2013-06-14",1072.9398276669
"1_7_2013-06-21",1070.99754328149
"1_7_2013-06-28",1066.64794586353
"1_7_2013-07-05",1058.39705813436
"1_7_2013-07-12",1052.86984197931
"1_7_2013-07-19",1060.49795175365
