"Id","Weekly_Sales"
"1_1_2012-11-02",10225.3061119661
"1_1_2012-11-09",10217.0362852839
"1_1_2012-11-16",10220.7822808143
"1_1_2012-11-23",12665.0569390524
"1_1_2012-11-30",10222.4438862389
"1_1_2012-12-07",12886.4037628876
"1_1_2012-12-14",12891.4526098266
"1_1_2012-12-21",12916.0475962959
"1_1_2012-12-28",10372.2176025936
"1_1_2013-01-04",9873.20550935664
"1_1_2013-01-11",10074.8238687624
"1_1_2013-01-18",10039.594781578
"1_1_2013-01-25",9361.00694271687
"1_1_2013-02-01",10089.9358125489
"1_1_2013-02-08",10094.0586281154
"1_1_2013-02-15",10528.1201662057
"1_1_2013-02-22",10095.8391823243
"1_1_2013-03-01",10082.451441399
"1_1_2013-03-08",10093.7272026332
"1_1_2013-03-15",10101.1327478611
"1_1_2013-03-22",10088.4591800586
"1_1_2013-03-29",10721.315730643
"1_1_2013-04-05",10098.9958528998
"1_1_2013-04-12",10087.3377116438
"1_1_2013-04-19",10063.8721243019
"1_1_2013-04-26",10089.0000364323
"1_1_2013-05-03",10048.8972899595
"1_1_2013-05-10",10062.5470982489
"1_1_2013-05-17",10037.6378493437
"1_1_2013-05-24",9975.81991869223
"1_1_2013-05-31",9966.2356194495
"1_1_2013-06-07",10092.1940078293
"1_1_2013-06-14",10055.1266520651
"1_1_2013-06-21",10040.7134085109
"1_1_2013-06-28",10008.4012573881
"1_1_2013-07-05",9946.97448848551
"1_1_2013-07-12",9905.72718624737
"1_1_2013-07-19",9962.63193169111
"1_1_2013-07-26",9937.94435402418
"1_2_2012-11-02",42767.3264969454
"1_2_2012-11-09",42741.3440522191
"1_2_2012-11-16",42753.1138769395
"1_2_2012-11-23",50267.1116349695
"1_2_2012-11-30",42758.3343248205
"1_2_2012-12-07",50932.8264433079
"1_2_2012-12-14",50947.9853780848
"1_2_2012-12-21",51021.8144025028
"1_2_2012-12-28",43228.2053423437
"1_2_2013-01-04",41657.3212539604
"1_2_2013-01-11",42293.8767187544
"1_2_2013-01-18",42182.8352638438
"1_2_2013-01-25",40028.2961264469
"1_2_2013-02-01",42341.4855368894
"1_2_2013-02-08",42354.4716254133
"1_2_2013-02-15",43715.8743375573
"1_2_2013-02-22",42360.0797069083
"1_2_2013-03-01",42317.9084790321
"1_2_2013-03-08",42353.427737004
"1_2_2013-03-15",42376.7512984867
"1_2_2013-03-22",42336.8341666458
"1_2_2013-03-29",44318.2170666749
"1_2_2013-04-05",42370.0215566626
"1_2_2013-04-12",42333.301467175
"1_2_2013-04-19",42259.3653288729
"1_2_2013-04-26",42338.5378718905
"1_2_2013-05-03",42212.1641507529
"1_2_2013-05-10",42255.1893680806
"1_2_2013-05-17",42176.6647702686
"1_2_2013-05-24",41981.6198275563
"1_2_2013-05-31",41951.3583210381
"1_2_2013-06-07",42348.5985555939
"1_2_2013-06-14",42231.801012438
"1_2_2013-06-21",42186.3623503154
"1_2_2013-06-28",42084.4488848392
"1_2_2013-07-05",41890.5255459928
"1_2_2013-07-12",41760.1741414925
"1_2_2013-07-19",41939.9785178422
"1_2_2013-07-26",41861.9974040222
"1_3_2012-11-02",10225.3061119661
"1_3_2012-11-09",10217.0362852839
"1_3_2012-11-16",10220.7822808143
"1_3_2012-11-23",12665.0569390524
"1_3_2012-11-30",10222.4438862389
"1_3_2012-12-07",12886.4037628876
"1_3_2012-12-14",12891.4526098266
"1_3_2012-12-21",12916.0475962959
"1_3_2012-12-28",10372.2176025936
"1_3_2013-01-04",9873.20550935664
