"Id","Weekly_Sales"
"1_1_2012-11-02",13337.6680227376
"1_1_2012-11-09",13516.2145927955
"1_1_2012-11-16",13321.3710666316
"1_1_2012-11-23",17139.5461153401
"1_1_2012-11-30",13205.9338405788
"1_1_2012-12-07",17474.9388767847
"1_1_2012-12-14",16953.2473603281
"1_1_2012-12-21",17475.9509452529
"1_1_2012-12-28",12638.2158061188
"1_1_2013-01-04",11683.2782212179
"1_1_2013-01-11",11915.0464306872
"1_1_2013-01-18",11653.8521952276
"1_1_2013-01-25",11397.6122716996
"1_1_2013-02-01",13339.9396367451
"1_1_2013-02-08",13841.8470682628
"1_1_2013-02-15",13986.9710866637
"1_1_2013-02-22",12696.8842412557
"1_1_2013-03-01",12569.062623755
"1_1_2013-03-08",12890.7808227093
"1_1_2013-03-15",12954.6218579206
"1_1_2013-03-22",13150.8444793187
"1_1_2013-03-29",14561.7231309251
"1_1_2013-04-05",12723.3049600997
"1_1_2013-04-12",12803.062755118
"1_1_2013-04-19",12762.4331571678
"1_1_2013-04-26",12687.3014976643
"1_1_2013-05-03",12779.063131199
"1_1_2013-05-10",12798.7038085222
"1_1_2013-05-17",12798.2943257117
"1_1_2013-05-24",12659.5984505055
"1_1_2013-05-31",12960.8092521539
"1_1_2013-06-07",12907.9967344824
"1_1_2013-06-14",12853.8984082106
"1_1_2013-06-21",12875.2325684032
"1_1_2013-06-28",12869.4596583212
"1_1_2013-07-05",13082.4944999085
"1_1_2013-07-12",12364.606874352
"1_1_2013-07-19",12470.5091935025
"1_1_2013-07-26",12426.6630717559
"1_2_2012-11-02",50397.9288619825
"1_2_2012-11-09",50914.4376430979
"1_2_2012-11-16",50350.7201334674
"1_2_2012-11-23",61148.808387211
"1_2_2012-11-30",50016.013725801
"1_2_2012-12-07",62075.0131751478
"1_2_2012-12-14",60632.9305606525
"1_2_2012-12-21",62077.8032031712
"1_2_2012-12-28",48361.8381839158
"1_2_2013-01-04",45547.2427500291
"1_2_2013-01-11",46234.2435008762
"1_2_2013-01-18",45459.8342125491
"1_2_2013-01-25",44696.8915525329
"1_2_2013-02-01",50404.5083766523
"1_2_2013-02-08",51853.1890111429
"1_2_2013-02-15",52270.2344717941
"1_2_2013-02-22",48533.4189700617
"1_2_2013-03-01",48159.4011145556
"1_2_2013-03-08",49099.4299790481
"1_2_2013-03-15",49285.4399368536
"1_2_2013-03-22",49856.0912779011
"1_2_2013-03-29",53914.1416414722
"1_2_2013-04-05",48610.6398327749
"1_2_2013-04-12",48843.5684359325
"1_2_2013-04-19",48724.9459528666
"1_2_2013-04-26",48505.4036428535
"1_2_2013-05-03",48773.5075209767
"1_2_2013-05-10",48830.8454146338
"1_2_2013-05-17",48829.6501623426
"1_2_2013-05-24",48424.3908608446
"1_2_2013-05-31",49303.4586367411
"1_2_2013-06-07",49149.6079840363
"1_2_2013-06-14",48991.8890201821
"1_2_2013-06-21",49054.1017644418
"1_2_2013-06-28",49037.2692391585
"1_2_2013-07-05",49657.4992819325
"1_2_2013-07-12",47559.6487229087
"1_2_2013-07-19",47870.535258719
"1_2_2013-07-26",47741.8814235753
"1_3_2012-11-02",12157.7598937696
"1_3_2012-11-09",12323.5710274152
"1_3_2012-11-16",12142.6270185165
"1_3_2012-11-23",15694.8931528992
"1_3_2012-11-30",12035.4433508268
"1_3_2012-12-07",16007.5160980043
"1_3_2012-12-14",15521.2796515691
